type,location,line number,code
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Rebrand/Components/List/Accordion.vue,11,"<div v-show=""itemToggle === item.sys.id"" v-html=""item.fields.description"" class=""subtitle2 font-gerstner""></div>"
settimeout_variable,/home/jino/Documents/public/winona-marketing-nuxt3/public/cloudflare/js/jquery.mousewheel.js,201,"nullLowestDeltaTimeout = setTimeout(nullLowestDelta, 200);"
settimeout_variable,/home/jino/Documents/public/winona-marketing-nuxt3/composables/useCountDown.js,43,"interval.value = setInterval(showRemaining, 1000);"
settimeout_variable,/home/jino/Documents/public/winona-marketing-nuxt3/helpers/triplePixel.js,3,"setTimeout(TP, 400);"
settimeout_variable,/home/jino/Documents/public/winona-marketing-nuxt3/helpers/triplePixel.js,16,"setTimeout(TP, 400);"
settimeout_variable,/home/jino/Documents/public/winona-marketing-nuxt3/helpers/triplePixel.js,27,"setTimeout(TP, 400);"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/pages/treatments.vue,17,"<h2 class=""font-size-heading-2 text-left"" v-if=""bodyCream?.sectionName"" v-html=""bodyCream?.sectionName""></h2>"
settimeout_variable,/home/jino/Documents/public/winona-marketing-nuxt3/pages/health-quiz.vue,50,"setTimeout(hideIntercom, 500);"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/pages/treatments-new.vue,16,"<h2 class=""font-size-heading-2 text-left"" v-if=""bodyCream?.sectionName"" v-html=""bodyCream?.sectionName""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/pages/more.vue,34,"<span v-html=""button.title""></span>"
